AlarmClock
courteous	1	0	3.453E-5	2.2916E-5
saved	1	0	3.453E-5	2.2916E-5
sheer	1	0	3.453E-5	2.2916E-5
higher	8	3	1.9567E-4	1.60414E-4
hot	5	1	1.2661E-4	6.8749E-5
telephone	0	1	1.151E-5	6.8749E-5
individualize	0	1	1.151E-5	6.8749E-5
lover	1	0	3.453E-5	2.2916E-5
pattern	1	3	3.453E-5	1.60414E-4
batty	1	0	3.453E-5	2.2916E-5
weather	9	0	2.1869E-4	2.2916E-5
clothing	1	0	3.453E-5	2.2916E-5
appreciate	4	3	1.0359E-4	1.60414E-4
designatedperiod	1	0	3.453E-5	2.2916E-5
min	5	3	1.2661E-4	1.60414E-4
easter	1	0	3.453E-5	2.2916E-5
prevent	2	2	5.755E-5	1.14582E-4
crazy	1	2	3.453E-5	1.14582E-4
product	86	84	0.001991229	0.00387286
gift	20	14	4.7191E-4	6.64574E-4
obnoxiously	2	0	5.755E-5	2.2916E-5
somehow	3	2	8.057E-5	1.14582E-4
sunday	1	4	3.453E-5	2.06247E-4
upward	1	0	3.453E-5	2.2916E-5
volt	5	0	1.2661E-4	2.2916E-5
drawer	2	1	5.755E-5	6.8749E-5
faithful	1	0	3.453E-5	2.2916E-5
toll	0	1	1.151E-5	6.8749E-5
preset	8	3	1.9567E-4	1.60414E-4
underestimate	1	0	3.453E-5	2.2916E-5
definately	3	0	8.057E-5	2.2916E-5
august	0	1	1.151E-5	6.8749E-5
non	6	3	1.4963E-4	1.60414E-4
tax	3	0	8.057E-5	2.2916E-5
mono	1	1	3.453E-5	6.8749E-5
quick	6	1	1.4963E-4	6.8749E-5
help	24	11	5.6399E-4	5.27076E-4
sleeper	47	11	0.00109345	5.27076E-4
easily	54	8	0.00125459	3.89578E-4
pulse	1	1	3.453E-5	6.8749E-5
satellite	3	0	8.057E-5	2.2916E-5
inches	1	0	3.453E-5	2.2916E-5
continuously	2	0	5.755E-5	2.2916E-5
europe	4	0	1.0359E-4	2.2916E-5
require	13	8	3.1077E-4	3.89578E-4
second	28	31	6.5607E-4	0.001443729
recognize	0	1	1.151E-5	6.8749E-5
durable	12	0	2.8775E-4	2.2916E-5
volume	55	31	0.00127761	0.001443729
autistic	1	0	3.453E-5	2.2916E-5
soothing	13	5	3.1077E-4	2.5208E-4
dissatisfy	0	1	1.151E-5	6.8749E-5
dst	12	3	2.8775E-4	1.60414E-4
write	10	5	2.4171E-4	2.5208E-4
grief	1	0	3.453E-5	2.2916E-5
improvement	4	2	1.0359E-4	1.14582E-4
bose	1	0	3.453E-5	2.2916E-5
rubber	2	0	5.755E-5	2.2916E-5
january	1	0	3.453E-5	2.2916E-5
curious	0	1	1.151E-5	6.8749E-5
exam	1	0	3.453E-5	2.2916E-5
retraction	1	0	3.453E-5	2.2916E-5
appearance	2	3	5.755E-5	1.60414E-4
thicker	0	1	1.151E-5	6.8749E-5
street	2	1	5.755E-5	6.8749E-5
pretty	32	15	7.4815E-4	7.10406E-4
recently	9	2	2.1869E-4	1.14582E-4
scramble	1	1	3.453E-5	6.8749E-5
simplest	0	1	1.151E-5	6.8749E-5
nothing	16	12	3.7983E-4	5.72908E-4
nah	1	0	3.453E-5	2.2916E-5
sadly	1	1	3.453E-5	6.8749E-5
advertised	0	1	1.151E-5	6.8749E-5
challenged	1	0	3.453E-5	2.2916E-5
latitudes	1	0	3.453E-5	2.2916E-5
collapse	1	0	3.453E-5	2.2916E-5
suitcase	7	3	1.7265E-4	1.60414E-4
lose	12	17	2.8775E-4	8.02072E-4
pragmatic	0	1	1.151E-5	6.8749E-5
braun	0	1	1.151E-5	6.8749E-5
bismol	1	0	3.453E-5	2.2916E-5
bright	85	39	0.001968209	0.00181039
receipt	0	1	1.151E-5	6.8749E-5
styling	0	1	1.151E-5	6.8749E-5
yield	1	0	3.453E-5	2.2916E-5
mant	0	1	1.151E-5	6.8749E-5
fairness	0	1	1.151E-5	6.8749E-5
duel	1	0	3.453E-5	2.2916E-5
keystroke	2	0	5.755E-5	2.2916E-5
files	1	0	3.453E-5	2.2916E-5
different	53	24	0.00123157	0.0011229
mad	1	0	3.453E-5	2.2916E-5
unfold	2	0	5.755E-5	2.2916E-5
somewhat	6	2	1.4963E-4	1.14582E-4
rely	4	1	1.0359E-4	6.8749E-5
tropical	1	0	3.453E-5	2.2916E-5
individual	4	0	1.0359E-4	2.2916E-5
daughter	23	9	5.4097E-4	4.3541E-4
lord	0	1	1.151E-5	6.8749E-5
exploit	1	0	3.453E-5	2.2916E-5
loved	1	0	3.453E-5	2.2916E-5
rainforest	6	2	1.4963E-4	1.14582E-4
ikea	1	0	3.453E-5	2.2916E-5
vhs	2	0	5.755E-5	2.2916E-5
bedstand	1	0	3.453E-5	2.2916E-5
game	0	1	1.151E-5	6.8749E-5
hundred	4	2	1.0359E-4	1.14582E-4
distraction	2	1	5.755E-5	6.8749E-5
access	8	2	1.9567E-4	1.14582E-4
bag	2	0	5.755E-5	2.2916E-5
ipod	4	0	1.0359E-4	2.2916E-5
suburb	1	0	3.453E-5	2.2916E-5
special	5	0	1.2661E-4	2.2916E-5
buyer	2	1	5.755E-5	6.8749E-5
increment	5	2	1.2661E-4	1.14582E-4
price	67	24	0.00155385	0.0011229
frequent	3	1	8.057E-5	6.8749E-5
screwup	0	1	1.151E-5	6.8749E-5
sensitivity	1	1	3.453E-5	6.8749E-5
tooth	1	1	3.453E-5	6.8749E-5
disruption	1	0	3.453E-5	2.2916E-5
outlet	2	2	5.755E-5	1.14582E-4
resolution	0	1	1.151E-5	6.8749E-5
despite	2	3	5.755E-5	1.60414E-4
gently	3	2	8.057E-5	1.14582E-4
low	22	15	5.1795E-4	7.10406E-4
optional	1	2	3.453E-5	1.14582E-4
elsewhere	2	2	5.755E-5	1.14582E-4
account	2	1	5.755E-5	6.8749E-5
lightness	1	0	3.453E-5	2.2916E-5
rid	1	1	3.453E-5	6.8749E-5
heaven	2	0	5.755E-5	2.2916E-5
hold	17	8	4.0285E-4	3.89578E-4
paltry	0	1	1.151E-5	6.8749E-5
shut	11	8	2.6473E-4	3.89578E-4
brazil	1	0	3.453E-5	2.2916E-5
garcia	1	0	3.453E-5	2.2916E-5
component	1	1	3.453E-5	6.8749E-5
simpler	0	1	1.151E-5	6.8749E-5
energizer	1	0	3.453E-5	2.2916E-5
design	36	27	8.4023E-4	0.001260398
poor	2	17	5.755E-5	8.02072E-4
insistent	1	0	3.453E-5	2.2916E-5
authentic	1	0	3.453E-5	2.2916E-5
spray	1	0	3.453E-5	2.2916E-5
testing	0	1	1.151E-5	6.8749E-5
instance	1	1	3.453E-5	6.8749E-5
fabulous	0	3	1.151E-5	1.60414E-4
spotlight	1	0	3.453E-5	2.2916E-5
skyscan	1	1	3.453E-5	6.8749E-5
brighten	1	0	3.453E-5	2.2916E-5
module	0	2	1.151E-5	1.14582E-4
aggravation	0	1	1.151E-5	6.8749E-5
acu	1	0	3.453E-5	2.2916E-5
enable	2	2	5.755E-5	1.14582E-4
thoose	1	0	3.453E-5	2.2916E-5
intend	5	2	1.2661E-4	1.14582E-4
frustrated	2	0	5.755E-5	2.2916E-5
florescent	1	0	3.453E-5	2.2916E-5
understand	12	4	2.8775E-4	2.06247E-4
certain	7	1	1.7265E-4	6.8749E-5
sink	1	0	3.453E-5	2.2916E-5
tornado	1	0	3.453E-5	2.2916E-5
monitor	1	1	3.453E-5	6.8749E-5
surge	1	0	3.453E-5	2.2916E-5
walk	8	1	1.9567E-4	6.8749E-5
earphone	0	2	1.151E-5	1.14582E-4
falling	0	1	1.151E-5	6.8749E-5
repetitive	1	1	3.453E-5	6.8749E-5
overnight	1	3	3.453E-5	1.60414E-4
portable	7	3	1.7265E-4	1.60414E-4
ipad	1	0	3.453E-5	2.2916E-5
dedicate	2	0	5.755E-5	2.2916E-5
aaa	13	0	3.1077E-4	2.2916E-5
define	1	0	3.453E-5	2.2916E-5
lousy	0	1	1.151E-5	6.8749E-5
condominium	1	0	3.453E-5	2.2916E-5
rebuy	0	1	1.151E-5	6.8749E-5
skull	0	1	1.151E-5	6.8749E-5
four	10	6	2.4171E-4	2.97912E-4
draw	4	2	1.0359E-4	1.14582E-4
usable	0	1	1.151E-5	6.8749E-5
pixel	3	0	8.057E-5	2.2916E-5
knife	1	0	3.453E-5	2.2916E-5
relegate	1	0	3.453E-5	2.2916E-5
investment	1	1	3.453E-5	6.8749E-5
inspection	0	1	1.151E-5	6.8749E-5
project	4	0	1.0359E-4	2.2916E-5
velcro	1	0	3.453E-5	2.2916E-5
tab	3	0	8.057E-5	2.2916E-5
rap	0	1	1.151E-5	6.8749E-5
slam	1	0	3.453E-5	2.2916E-5
bake	1	0	3.453E-5	2.2916E-5
error	1	1	3.453E-5	6.8749E-5
daugher	1	0	3.453E-5	2.2916E-5
cross	2	0	5.755E-5	2.2916E-5
nuisance	0	1	1.151E-5	6.8749E-5
thankfully	2	0	5.755E-5	2.2916E-5
breaker	1	0	3.453E-5	2.2916E-5
row	2	1	5.755E-5	6.8749E-5
guest	7	2	1.7265E-4	1.14582E-4
bathroom	6	1	1.4963E-4	6.8749E-5
originally	1	2	3.453E-5	1.14582E-4
somebody	2	0	5.755E-5	2.2916E-5
peak	1	1	3.453E-5	6.8749E-5
rude	0	1	1.151E-5	6.8749E-5
specifically	1	4	3.453E-5	2.06247E-4
bias	0	1	1.151E-5	6.8749E-5
alas	1	0	3.453E-5	2.2916E-5
along	6	3	1.4963E-4	1.60414E-4
enjoyment	2	0	5.755E-5	2.2916E-5
convenient	9	2	2.1869E-4	1.14582E-4
recover	2	0	5.755E-5	2.2916E-5
heart	11	0	2.6473E-4	2.2916E-5
anymore	5	3	1.2661E-4	1.60414E-4
seek	3	0	8.057E-5	2.2916E-5
exaggerate	0	1	1.151E-5	6.8749E-5
antenna	3	4	8.057E-5	2.06247E-4
illuminated	2	0	5.755E-5	2.2916E-5
moments	1	0	3.453E-5	2.2916E-5
compartment	3	2	8.057E-5	1.14582E-4
time	500	245	0.011521506	0.011251919
secure	1	0	3.453E-5	2.2916E-5
bother	12	10	2.8775E-4	4.81243E-4
awaken	7	5	1.7265E-4	2.5208E-4
realy	0	1	1.151E-5	6.8749E-5
outdoor	1	0	3.453E-5	2.2916E-5
outside	4	2	1.0359E-4	1.14582E-4
expensive	16	2	3.7983E-4	1.14582E-4
otherwise	14	3	3.3379E-4	1.60414E-4
functioning	1	0	3.453E-5	2.2916E-5
cleverly	1	0	3.453E-5	2.2916E-5
duct	2	2	5.755E-5	1.14582E-4
date	19	9	4.4889E-4	4.3541E-4
effecticely	1	0	3.453E-5	2.2916E-5
electrical	5	1	1.2661E-4	6.8749E-5
turn	111	41	0.002566729	0.001902056
hit	26	17	6.1003E-4	8.02072E-4
airline	1	0	3.453E-5	2.2916E-5
vibrating	2	0	5.755E-5	2.2916E-5
supply	4	2	1.0359E-4	1.14582E-4
under	24	2	5.6399E-4	1.14582E-4
bound	1	0	3.453E-5	2.2916E-5
ambien	1	0	3.453E-5	2.2916E-5
mild	1	0	3.453E-5	2.2916E-5
observation	0	2	1.151E-5	1.14582E-4
double	2	1	5.755E-5	6.8749E-5
california	1	0	3.453E-5	2.2916E-5
weight	3	8	8.057E-5	3.89578E-4
reviewer	22	6	5.1795E-4	2.97912E-4
harass	1	0	3.453E-5	2.2916E-5
nature	10	14	2.4171E-4	6.64574E-4
differnt	0	1	1.151E-5	6.8749E-5
bedside	22	10	5.1795E-4	4.81243E-4
fancier	1	0	3.453E-5	2.2916E-5
daily	6	4	1.4963E-4	2.06247E-4
clocks	1	0	3.453E-5	2.2916E-5
feeble	0	2	1.151E-5	1.14582E-4
surprisingly	2	0	5.755E-5	2.2916E-5
travel	131	33	0.003027129	0.001535394
detention	1	0	3.453E-5	2.2916E-5
essentially	0	1	1.151E-5	6.8749E-5
talented	1	0	3.453E-5	2.2916E-5
closed	2	0	5.755E-5	2.2916E-5
shoddily	0	2	1.151E-5	1.14582E-4
strain	1	0	3.453E-5	2.2916E-5
thinnish	1	0	3.453E-5	2.2916E-5
free	8	2	1.9567E-4	1.14582E-4
hype	1	0	3.453E-5	2.2916E-5
nearsightedness	1	0	3.453E-5	2.2916E-5
task	0	1	1.151E-5	6.8749E-5
hitter	1	0	3.453E-5	2.2916E-5
toys	2	0	5.755E-5	2.2916E-5
lit	7	2	1.7265E-4	1.14582E-4
complain	12	0	2.8775E-4	2.2916E-5
sync	6	0	1.4963E-4	2.2916E-5
holder	4	0	1.0359E-4	2.2916E-5
intensity	0	1	1.151E-5	6.8749E-5
amaze	1	0	3.453E-5	2.2916E-5
fiance	1	0	3.453E-5	2.2916E-5
tape	14	3	3.3379E-4	1.60414E-4
relaxation	1	0	3.453E-5	2.2916E-5
below	0	2	1.151E-5	1.14582E-4
emergency	0	1	1.151E-5	6.8749E-5
iphone	4	1	1.0359E-4	6.8749E-5
amply	1	0	3.453E-5	2.2916E-5
near	7	1	1.7265E-4	6.8749E-5
distracting	0	1	1.151E-5	6.8749E-5
tinnitus	1	0	3.453E-5	2.2916E-5
either	13	11	3.1077E-4	5.27076E-4
friday	1	1	3.453E-5	6.8749E-5
start	30	21	7.0211E-4	9.85402E-4
till	3	2	8.057E-5	1.14582E-4
jcr	1	0	3.453E-5	2.2916E-5
gain	6	10	1.4963E-4	4.81243E-4
representative	0	1	1.151E-5	6.8749E-5
generic	4	1	1.0359E-4	6.8749E-5
crescendo	2	0	5.755E-5	2.2916E-5
handful	1	0	3.453E-5	2.2916E-5
melatonin	1	0	3.453E-5	2.2916E-5
frequency	3	8	8.057E-5	3.89578E-4
elect	1	0	3.453E-5	2.2916E-5
slippery	1	0	3.453E-5	2.2916E-5
defeat	1	1	3.453E-5	6.8749E-5
cst	1	0	3.453E-5	2.2916E-5
plastic	24	16	5.6399E-4	7.56239E-4
shorter	0	1	1.151E-5	6.8749E-5
prompt	0	1	1.151E-5	6.8749E-5
chaney	3	2	8.057E-5	1.14582E-4
ambient	4	3	1.0359E-4	1.60414E-4
